player_name,destination_club,origin_club
Bruno Guimarães,Arsenal,Newcastle United
Ezri Konsa,Arsenal,Aston Villa
Piero Hincapié,Arsenal,Bayer 04 Leverkusen
Christos Tzolis,Arsenal,Club Brugge KV
Illan Meslier,Arsenal,Leeds United
Johan Manzambi,Aston Villa,SC Freiburg
Nicolas Jackson,Aston Villa,Chelsea FC
Ibrahim Mbaye,Aston Villa,Paris Saint-Germain
João Gomes,Aston Villa,Wolverhampton Wanderers
Zion Suzuki,Aston Villa,Parma Calcio 1913
Taylor Harwood-Bellis,Aston Villa,Southampton FC
Matteo Ruggeri,Aston Villa,Atlético de Madrid
Modou Kéba Cissé,Aston Villa,LASK
Leon Goretzka,Aston Villa,Bayern Munich
Aaron Wan-Bissaka,Aston Villa,West Ham United
Alejandro Garnacho,Aston Villa,Chelsea FC
António Silva,AFC Bournemouth,SL Benfica
Álvaro Rodríguez,AFC Bournemouth,Elche CF
Álex Jiménez,AFC Bournemouth,AC Milan
Juanlu Sánchez,AFC Bournemouth,Sevilla FC
Michele Di Gregorio,AFC Bournemouth,Juventus FC
Mamadou Sangaré,Brentford FC,RC Lens
El Hadji Malick Diouf,Brentford FC,West Ham United
Jannik Schuster,Brentford FC,Red Bull Salzburg
Jaidon Anthony,Brentford FC,Burnley FC
Callum Wilson,Brentford FC,West Ham United
Luka Vuskovic,Brighton & Hove Albion,Tottenham Hotspur
Zadok Yohanna,Brighton & Hove Albion,AIK
Pascal Struijk,Brighton & Hove Albion,Leeds United
Chema Andrés,Brighton & Hove Albion,VfB Stuttgart
Femi Azeez,Brighton & Hove Albion,Millwall FC
Jaouen Hadjam,Brighton & Hove Albion,BSC Young Boys
Costinha,Brighton & Hove Albion,Olympiacos Piraeus
Michael Svoboda,Brighton & Hove Albion,Venezia FC
Matías Orozco,Brighton & Hove Albion,Deportivo Cali
Rodrigo Rêgo,Brighton & Hove Albion,SL Benfica B
Promise David,Brighton & Hove Albion,Union Saint-Gilloise
Morgan Rogers,Chelsea FC,Aston Villa
Maxence Lacroix,Chelsea FC,Crystal Palace
Marco Palestra,Chelsea FC,Atalanta BC
Geovany Quenda,Chelsea FC,Sporting CP
Valentín Barco,Chelsea FC,RC Strasbourg Alsace
Emmanuel Emegha,Chelsea FC,RC Strasbourg Alsace
Pep Chavarría,Chelsea FC,Rayo Vallecano
Emiliano Martínez,Chelsea FC,Aston Villa
Danny Welbeck,Chelsea FC,Brighton & Hove Albion
Dastan Satpaev,Chelsea FC,Kairat Almaty
Jordan Henderson,Chelsea FC,Brentford FC
Bradley Barcola,Liverpool FC,Paris Saint-Germain
Jérémy Jacquet,Liverpool FC,Stade Rennais FC
Víctor Muñoz,Liverpool FC,CA Osasuna
Lucca Brughmans,Liverpool FC,KRC Genk
Djylian N'Guessan,Liverpool FC,AS Saint-Étienne
Ifeanyi Ndukwe,Liverpool FC,Austria Vienna
Ronald Araujo,Liverpool FC,FC Barcelona
Enzo Fernández,Manchester City,Chelsea FC
