player_name,destination_club,origin_club,found_in_automated_source
Femi Azeez,Brighton & Hove Albion,Millwall FC,False
Michael Svoboda,Brighton & Hove Albion,Venezia FC,False
Rodrigo Rêgo,Brighton & Hove Albion,SL Benfica B,False
Mathys Detourbet,Manchester City,ESTAC Troyes,False
Jeremy Monga,Manchester City,Leicester City,False
Ewen Jaouen,Newcastle United,Stade Reims,False
Juan Riquelme Angulo,Sunderland AFC,Independiente del Valle,False
Hayden Hackney,Everton FC,Middlesbrough FC,False
Joe Gelhardt,Hull City,Leeds United,False
Cédric Kipré,Ipswich Town,Stade Reims,False
